feed,provider,agencies,icc,nearest_fua,model,n_products,n_od_pairs,currency,price_min,price_max,n_stops,lon,lat,tables,modes
mdb-767,Prazska integrovana doprava (PID),Pražská integrovaná doprava,CZ,Praha (1 km),Per-route,17,0,CZK,0.0,200.0,19381,14.492,50.0602,"fare_attributes,fare_rules",Bus+Other+Rail
mdb-1901,"Dopravní podnik města Olomouce, a. s.","Dopravní podnik města Olomouce, a.s.",CZ,Olomouc (5 km),Declared only,0,0,,,,376,17.2567,49.5921,"fare_attributes,fare_rules",Bus+Other
mdb-3368,"Alukvik OÜ, Ekspressbussiliinid osaühing, GoBus AS, HANSABUSS AS, SEBE Aktsiasel",Alukvik OÜ; Ekspressbussiliinid osaühing +3,EE,Tallinn (95 km),Zone-to-zone OD,13,67,EUR,1.0,5.9,18094,25.6224,58.6944,"fare_attributes,fare_rules",Bus
mdb-3371,"GoBus AS, HANSABUSS AS",HANSABUSS AS; GoBus AS,EE,Tallinn (96 km),Zone-to-zone OD,3,25,USD,1.0,1.7,18237,25.6222,58.683,"fare_attributes,fare_rules",Bus
mdb-3235,"ABuss OÜ, Aktsiaselts Hansa Bussiliinid, Aktsiaselts MK Autobuss, Alukvik OÜ, Ar",GoBus AS; MEELIS HEEK +30,EE,Tallinn (96 km),Flat,16,0,EUR,1.0,5.9,18233,25.6223,58.6831,fare_attributes,Bus+Other+Rail
mdb-2718,Autobuses La Unión (ALU),"Autobuses La Unión, S.A.",ES,Bilbao (3 km),Zone-to-zone OD,661,744,EUR,1.45,15.0,102,-2.9825,43.3098,"fare_attributes,fare_rules",Bus
mdb-2715,Euskotren,Euskotren Funicular Larreineta; Euskotren Tranbia Bilbao +2,ES,Bilbao (23 km),Zone-to-zone OD,122,122,EUR,1.95,7.9,801,-2.6785,43.2671,"fare_attributes,fare_rules",Other+Rail
mdb-2824,Alavabus,Álavabus; Transporte Comarcal,ES,Vitoria/Gasteiz (1 km),Zone-to-zone OD,61,52,EUR,1.55,12.3,693,-2.6929,42.8523,"fare_attributes,fare_rules",Bus
mdb-1135,Bizkaibus,Bizkaibus,ES,Bilbao (4 km),Zone-to-zone OD,29,25,EUR,2.0,5.0,2335,-2.9118,43.2933,"fare_attributes,fare_rules",Bus
mdb-3052,Metro Bilbao,Metro Bilbao,ES,Bilbao (3 km),Zone-to-zone OD,3,25,EUR,2.0,2.25,191,-2.9868,43.3057,"fare_attributes,fare_rules",Other
mdb-2923,Santa Eulalia Ferry,Santa Eulalia Ferry,ES,Palma de Mallorca (120 km),Zone-to-zone OD,5,20,EUR,900.0,1500.0,5,1.5372,38.9833,"fare_attributes,fare_rules",Other
mdb-2793,Erandio City Council (Erandio! Busa),Erandiobusa,ES,Bilbao (3 km),Zone-to-zone OD,9,16,EUR,0.33,1.2,55,-2.9601,43.308,"fare_attributes,fare_rules",Bus
mdb-2781,Metro de Sevilla,Metro de Sevilla,ES,Sevilla (1 km),Zone-to-zone OD,16,9,EUR,0.49,30.0,42,-5.9742,37.3714,"fare_attributes,fare_rules",Other
mdb-2682,dBus (Donostiabus),Dbus,ES,Donostia-San Sebastián (2 km),Zone-to-zone OD,49,1,EUR,1.95,2.65,542,-1.9799,43.3122,"fare_attributes,fare_rules",Bus
mdb-1162,El Transbordador de Vizcaya,Puente Bizkaia,ES,Bilbao (6 km),Zone-to-zone OD,18,1,EUR,0.55,15.0,2,-3.0172,43.3232,"fare_attributes,fare_rules",Other
mdb-2789,El Transbordador de Vizcaya (Bizkaia Bridge Ferry),Puente Bizkaia,ES,Bilbao (6 km),Zone-to-zone OD,18,1,EUR,0.55,15.0,2,-3.0172,43.3232,"fare_attributes,fare_rules",Other
mdb-2680,Funicular de Artxanda,Artxandako Funikularra,ES,Bilbao (4 km),Zone-to-zone OD,10,1,EUR,0.0,5.0,2,-2.9229,43.2715,"fare_attributes,fare_rules",Other
mdb-2681,Bilbobus,Bilbobus,ES,Bilbao (4 km),Zone-to-zone OD,9,1,EUR,0.32,30.0,538,-2.9346,43.2589,"fare_attributes,fare_rules",Bus
mdb-2790,Sopela Town Hall,Sopelbus,ES,Bilbao (11 km),Zone-to-zone OD,6,1,EUR,0.19,1.0,18,-2.9875,43.3815,"fare_attributes,fare_rules",Bus
mdb-2792,Etxebarri Town Hall,Etxebarri Bus,ES,Bilbao (7 km),Zone-to-zone OD,4,1,EUR,0.39,0.7,24,-2.8923,43.2475,"fare_attributes,fare_rules",Bus
mdb-2733,Lurraldebus Arrasate,Lurraldebus Urbano De Arrasate,ES,Vitoria/Gasteiz (28 km),Zone-to-zone OD,1,1,EUR,1.35,1.35,54,-2.4897,43.0651,"fare_attributes,fare_rules",Bus
mdb-2734,Lurraldebus - Hernani Urban (Hernani city bus),Lurraldebus Urbano De Hernani,ES,Donostia-San Sebastián (3 km),Zone-to-zone OD,1,1,EUR,0.7,0.7,27,-1.9712,43.2683,"fare_attributes,fare_rules",Bus
mdb-2735,Lurraldebus Eibar,Udalbus Eibar,ES,Vitoria/Gasteiz (41 km),Zone-to-zone OD,1,1,EUR,1.35,1.35,38,-2.4693,43.1861,"fare_attributes,fare_rules",Bus
mdb-2737,Oñati urban (Oñatiko herribusa),Oñatiko Herribusa,ES,Vitoria/Gasteiz (29 km),Zone-to-zone OD,1,1,EUR,1.35,1.35,32,-2.4136,43.0327,"fare_attributes,fare_rules",Bus
mdb-2758,Tolosa City Council (Urbano de Tolosa),Tolosa Hiribusa,ES,Donostia-San Sebastián (20 km),Zone-to-zone OD,1,1,EUR,1.35,1.35,26,-2.0742,43.1332,"fare_attributes,fare_rules",Bus
mdb-2759,Lurraldebus Urbano de Errentería (Errenteria Urbanoa),Lurraldebus Urbano De Errenteria,ES,Donostia-San Sebastián (5 km),Zone-to-zone OD,1,1,EUR,1.55,1.55,82,-1.9057,43.3109,"fare_attributes,fare_rules",Bus
mdb-2760,Lurraldebus Lasarte,Urbano De Lasarte-oria,ES,Donostia-San Sebastián (6 km),Zone-to-zone OD,1,1,EUR,1.35,1.35,39,-2.0183,43.2643,"fare_attributes,fare_rules",Bus
mdb-2788,Kbus (Barakaldo urban),Kbus,ES,Bilbao (2 km),Zone-to-zone OD,1,1,EUR,1.3,1.3,88,-2.9889,43.2879,"fare_attributes,fare_rules",Bus
mdb-2791,Leioa City Council (Lejoan Busa),Lejoan Busa,ES,Bilbao (5 km),Zone-to-zone OD,1,1,EUR,1.0,1.0,30,-2.9925,43.3258,"fare_attributes,fare_rules",Bus
mdb-2799,Bermibusa,Bermibusa,ES,Bilbao (24 km),Zone-to-zone OD,1,1,EUR,1.0,1.0,20,-2.7273,43.4197,"fare_attributes,fare_rules",Bus
mdb-797,TUVISA (Transportes Urbanos de Vitoria),Tuvisa,ES,Vitoria/Gasteiz (1 km),Per-route,3,0,EUR,1.4,1.85,368,-2.6818,42.8491,"fare_attributes,fare_rules",Bus
mdb-2784,Public Works Agency of the Andalusian Regional Government (Metro de Grenada),Metropolitano de Granada,ES,Granada (1 km),Flat,1,0,EUR,1.35,1.35,26,-3.6136,37.182,fare_attributes,Other
mdb-2812,Pinto City Council,AUTÓMNIBUS INTERURBANOS S.A,ES,Madrid (18 km),Per-route,1,0,EUR,1.3,1.3,59,-3.6987,40.2492,"fare_attributes,fare_rules",Bus
mdb-892,Àrea Metropolitana de Barcelona (AMB),Soler i Sauret; DIREXIS TGO +9,ES,Barcelona (4 km),GTFS-Fares v2,1,0,EUR,7.75,7.75,4949,2.1122,41.4055,"areas,fare_attributes,fare_leg_rules,fare_media,fare_products,fare_rules,networks,route_networks,stop_areas",Bus
mdb-2150,Gobierno de Navarra (Navarra intercity bus),Conda S.A.; Inter-Arriaga S.L. +1,ES,Pamplona/Iruña (32 km),Declared only,0,0,,,,222,-1.6916,42.5318,"fare_attributes,fare_rules",Bus
mdb-2720,Consorcio Regional de Transportes de Madrid CRTM Commuter Network (Red de Cercan,Consorcio Regional de Transportes de Madrid,ES,Madrid (1 km),Declared only,0,0,,,,97,-3.7077,40.4211,"fare_attributes,fare_rules",Rail
mdb-2752,Autocares Rías Baixas (Rías Baixas Coaches),Autocares Rias Baixas S. L.; TREN TURÍSTICO,ES,Santiago de Compostela (25 km),Declared only,0,0,,,,2443,-8.4859,42.6469,"fare_attributes,fare_rules",Bus
mdb-2774,Autocares Baraza (Baraza Coaches),Autocares Baraza,ES,Almería (67 km),Declared only,0,0,,,,50,-1.8296,37.2184,"fare_attributes,fare_rules",Bus
mdb-2778,Rodil,UTE Rodil,ES,Coruña (A) (97 km),Declared only,0,0,,,,84,-7.2014,43.3486,"fare_attributes,fare_rules",Bus
mdb-2780,Costa Coaches,Autocares Costa S. L.,ES,Santiago de Compostela (33 km),Declared only,0,0,,,,446,-8.8957,43.0195,"fare_attributes,fare_rules",Bus
mdb-2794,Lázara Coaches,UTE XG-863 LÁZARA-RÍAS BAIXAS,ES,Santiago de Compostela (20 km),Declared only,0,0,,,,1321,-8.3766,42.7487,"fare_attributes,fare_rules",Bus
mdb-2802,Consorcio Regional de Transportes de Madrid CRTM Light Rail Network (Red de Metr,Consorcio Regional de Transportes de Madrid,ES,Madrid (5 km),Declared only,0,0,,,,96,-3.7637,40.4212,"fare_attributes,fare_rules",Other
mdb-2820,Consorcio Regional de Transportes de Madrid CRTM Madrid City Bus (Autobús urbano,Consorcio Regional de Transportes de Madrid,ES,Madrid (4 km),Declared only,0,0,,,,8406,-3.7443,40.4263,"fare_attributes,fare_rules",Bus
mdb-2826,Autoridad de Transporte Metropolitano del Área de Barcelona (ATM) Buses and trai,Hispano Igualadina; ALSINA GRAELLS +175,ES,Barcelona (6 km),Declared only,0,0,,,,28983,2.1192,41.4938,"fare_attributes,fare_rules",Bus+Other+Rail
