feed,provider,agencies,icc,nearest_fua,model,n_products,n_od_pairs,currency,price_min,price_max,n_stops,lon,lat,tables,modes
mdb-898,Transdev — Pays de la Loire,Brévibus,FR,Saint-Nazaire (13 km),Per-route,1,0,EUR,0.0,0.0,123,-2.1568,47.2419,"fare_attributes,fare_rules",Bus
tdg-64280,Transdev Fougères • SURF,SURF,FR,Rennes (47 km),Per-route,1,0,EUR,1.1,1.1,238,-1.1958,48.3522,"fare_attributes,fare_rules",Bus
tdg-79151,Transdev • Pays de la Loire,Brévibus,FR,Saint-Nazaire (13 km),Per-route,1,0,EUR,0.0,0.0,123,-2.1568,47.2419,"fare_attributes,fare_rules",Bus
tdg-79483,Communauté d'agglomération du grand Gueret,Agglo’Bus (Grand Guéret),FR,Limoges (60 km),Flat,1,0,EUR,1.0,1.0,69,1.8721,46.1715,fare_attributes,Bus
tdg-79537,Transdev • Pays de la Loire,Réso,FR,Le Mans (43 km),Per-route,1,0,EUR,0.0,0.0,109,-0.326,47.8388,"fare_attributes,fare_rules",Bus
tdg-79544,EVEOLE,EVEOLE; TAD EVEOLE,FR,Douai (1 km),Flat,1,0,EUR,0.0,0.0,1471,3.112,50.3657,fare_attributes,Bus
tdg-79545,Transdev • Bretagne ,Dinamo!,FR,Rennes (48 km),Per-route,1,0,EUR,0.0,0.0,390,-2.0631,48.4563,"fare_attributes,fare_rules",Bus
tdg-79576,Transdev • Centre-Val de Loire,Nosbus (Nogent-le-Rotrou),FR,Le Mans (59 km),Per-route,1,0,EUR,0.0,0.0,106,0.818,48.3175,"fare_attributes,fare_rules",Bus
tdg-81255,Tout'enbus,AUBENAS - Tout'enbus,FR,Valence (52 km),Per-route,1,0,EUR,1.1,1.1,245,4.3891,44.6181,"fare_attributes,fare_rules",Bus
tdg-81432,Communauté d'Agglomération du Grand Cahors,Évidence Grand Cahors,FR,Toulouse (96 km),Flat,1,0,EUR,0.0,0.0,179,1.4354,44.452,fare_attributes,Bus
tdg-81618,Syndicat Mixte des Mobilités de l'Aire Grenobloise,OT Grenoble,FR,Grenoble (1 km),Flat,1,0,EUR,6.5,6.5,4,5.7253,45.1958,fare_attributes,Other
tdg-81794,Syndicat Mixte des Mobilités de l'Aire Grenobloise,M Réso - Grésivaudan,FR,Grenoble (21 km),Flat,1,0,EUR,1.0,1.0,1341,5.952,45.2983,"fare_attributes,fare_rules",Bus
tdg-81898,Communauté d'Agglomération du Grand Sénonais INTERCOM,INTERCOM,FR,Troyes (58 km),Per-route,1,0,EUR,1.4,1.4,367,3.2961,48.1919,"fare_attributes,fare_rules",Bus
tdg-82553,Transdev GMVA Mobilités • Kicéo,Kicéo,FR,Lorient (45 km),Per-route,1,0,EUR,1.5,1.5,2631,-2.7572,47.6609,"fare_attributes,fare_rules",Bus
tdg-82554,Transdev Vierzon Mobilités • Le Vib,Le VIB (Vierzon),FR,Orléans (76 km),Per-route,1,0,EUR,1.0,1.0,281,2.0721,47.2231,"fare_attributes,fare_rules",Bus
tdg-82555,Transdev SMA Mobilités • MAT,MAT,FR,Saint-Brieuc (59 km),Flat,1,0,EUR,2.0,2.0,1153,-1.9697,48.6338,fare_attributes,Bus
tdg-83281,STAR,STAR,FR,Rennes (2 km),Flat,1,0,EUR,1.7,1.7,1524,-1.6758,48.1098,fare_attributes,Bus+Other
tdg-83282,STAR,STAR,FR,Rennes (2 km),Flat,1,0,EUR,1.7,1.7,1804,-1.6793,48.1089,fare_attributes,Bus+Other
tdg-83300,Auray Quiberon Terre Atlantique,GLAZGO,FR,Lorient (31 km),Per-route,1,0,EUR,1.0,1.0,444,-3.0277,47.5961,"fare_attributes,fare_rules",Bus
tdg-83459,Syndicat Mixte des Mobilités de l'Aire Grenobloise,M Réso - Métropole Grenobloise,FR,Grenoble (3 km),Flat,1,0,EUR,2.0,2.0,2554,5.7223,45.1801,"fare_attributes,fare_rules",Bus+Other
tdg-83462,Syndicat Mixte des Mobilités de l'Aire Grenobloise,M Réso - Pays Voironnais,FR,Grenoble (21 km),Flat,1,0,EUR,1.2,1.2,1193,5.5868,45.3652,"fare_attributes,fare_rules",Bus
tdg-83762,Transdev CapAtlantique Mobilités • Lila Presqu'île,Lila Presqu'île,FR,Saint-Nazaire (10 km),Per-route,1,0,EUR,2.0,2.0,1900,-2.3719,47.3536,"fare_attributes,fare_rules",Bus
tdg-83769,Intercom de la Vire au Noireau,Tiva_scolaire (Intercom de la Vire au Noireau),FR,Caen (52 km),Flat,1,0,EUR,2.0,2.0,23,-0.8833,48.8461,fare_attributes,Bus
tdg-83770,Intercom de la Vire au Noireau,Tiva_à la demande (Intercom de la Vire au Noireau),FR,Caen (51 km),Per-route,1,0,EUR,2.0,2.0,24,-0.8725,48.8515,"areas,fare_attributes,fare_rules",Bus
tdg-84024,Département de Loire-Atlantique,Compagnie des Bacs de Loire,FR,Nantes (12 km),Per-route,1,0,EUR,0.0,0.0,4,-1.7137,47.2004,"fare_attributes,fare_rules",Other
tdg-79814,Communauté de Communes de l'Ouest Vosgien,Reseau NEOBUS,FR,Nancy (50 km),Declared only,0,0,,,,26,5.6926,48.3568,"fare_attributes,fare_rules",Bus
