agency,mode,n_ods,country,operator
CrossCountry,Bus,2,UK,CrossCountry
Southern,Rail,2,UK,DFTO
Greater Anglia,Bus,2,UK,DFTO
Arriva,Rail,2,"BE,DE,NL",Arriva
Iarnród Éireann / Irish Rail,Rail,2,"IE,UK",Iarnród Éireann
TPER spa,Bus,2,IT,TPER
TRENITALIA S.p.A.,Rail,2,IT,Trenitalia
Eu Sleeper,Rail,2,"BE,CZ,DE,NL",European Sleeper
Qbuzz,Bus,2,NL,Qbuzz
NS,Bus,2,"BE,NL",NS
Vy Buss,Bus,2,NO,Vy
Vy,Rail,2,"NO,SE",Vy
SJ AB,Rail,2,"DE,DK,NO,SE",SJ
OEBB Personenverkehr AG Kundenservice,Bus,1,"AT,CH,SK",ÖBB
TEC Namur - Luxembourg,Bus,1,BE,TEC
Schweizerische Südostbahn (sob),Rail,1,CH,SOB
THURBO,Rail,1,"CH,DE",THURBO
REGABUS s.r.o.,Bus,1,CZ,REGABUS
"D.M.D-GROUP, spol. s r.o.",Bus,1,CZ,D.M.D-GROUP
MUSIL TOUR spol. s.r.o.,Bus,1,CZ,MUSIL TOUR
DB Regio AG,Rail,1,"DE,PL",DB
Arverio Baden-Württemberg,Rail,1,DE,Arverio
DB SEV GmbH,Bus,1,DE,DB
DB RegioNetz Verkehrs GmbH Südostbayernbahn,Rail,1,DE,DB
DB RegioNetz Verkehrs GmbH Kurhessenbahn,Rail,1,DE,DB
trilex-express - Die Länderbahn GmbH DLB,Rail,1,"CZ,DE",NETINERA
trilex  - Die Länderbahn GmbH DLB,Rail,1,"CZ,DE",NETINERA
NIAG,Bus,1,"DE,NL",NIAG
Erfurter Bahn,Rail,1,DE,Erfurter Bahn
agilis,Bus,1,DE,agilis
WestfalenBahn,Rail,1,DE,WestfalenBahn
WestfalenBahn,Bus,1,DE,WestfalenBahn
erixx,Bus,1,DE,NETINERA
Go-Ahead Bayern GmbH,Rail,1,DE,Arverio
go.on Gesellschaft für Bus- und Schienenverkehr mbH,Bus,1,DE,go.on
Busverkehr-Rhein-Neckar,Bus,1,DE,DB
Ostdeutsche Eisenbahn GmbH,Rail,1,DE,NETINERA
Ostdeutsche Eisenbahn GmbH,Bus,1,DE,NETINERA
FlixBus Sverige AB,Bus,1,"AT,BE,CZ,DE,DK",FlixBus
FlixBus-gb,Bus,1,"BE,CZ,DE,FR,NL",FlixBus
VIAS GmbH,Rail,1,DE,RATH
BusClassic / Weiglein,Bus,1,DE,Weiglein Reisen
Hamburger Verkehrsverbund (hvv),Bus,1,DE,HVV
Verkehrsverbund Rhein-Neckar,Bus,1,DE,VRN
Münchner Verkehrs- und Tarifverbund,Bus,1,DE,MVV
Gerdes Reisen,Bus,1,DE,Gerdes Reisen
Verkehrsverbund Oberelbe,Bus,1,"CZ,DE",VVO
Verkehrsgemeinschaft Müritz-Oderhaff,Bus,1,"DE,PL",VMO
Ingolstadt,Bus,1,DE,VGI
ZVON Oberlausitz-Niederschlesien,Bus,1,"CZ,DE",ZVON
Dänische Staatsbahnen,Rail,1,"DE,DK",DSB
ELRON,Rail,1,"EE,LV",Elron
Euskotren Trena,Rail,1,ES,Euskotren
Ebrobus SLU,Bus,1,ES,Ebrobus
València - Alacant/Elx,Bus,1,ES,Unresolved Valencian coach operator
Elx Rodalia,Bus,1,ES,Elx Rodalia
FUENGIROLA,Bus,1,ES,Unresolved Spanish regional bus
Transporte Público de Galicia,Bus,1,ES,Transporte Público de Galicia
Red de Consorcios de Transporte de Andalucía - Bahía de Cádiz,Bus,1,ES,CTMC Bahía de Cádiz
Álavabus,Bus,1,ES,Álavabus
Tåg i Bergslagen,Bus,1,SE,VR
Nysse,Bus,1,FI,Nysse
Blauwnet Keolis,Rail,1,NL,Keolis
SNCF,Rail,1,"DE,FR",SNCF
SNCF,Bus,1,"DE,FR",SNCF
Trains Express Régionaux,Rail,1,"BE,CH,DE,FR,LU",SNCF
S-Bahn Hannover,Bus,1,DE,Transdev
Mälartåg ersättningstrafik,Bus,1,SE,Transdev
Bayerische Regiobahn,Bus,1,"AT,DE",Transdev
SNCF / TER,Rail,1,"BE,CH,DE,FR,LU",SNCF
CAR_HDF_59_3,Bus,1,FR,Hauts-de-France Mobilités
Aléop Lignes Express régionales,Bus,1,FR,Aléop
Aléop en Loire-Atlantique,Bus,1,FR,Aléop
LER ! ZOU,Bus,1,FR,ZOU!
Cars Régionaux 87 - Haute Vienne,Bus,1,FR,Nouvelle-Aquitaine Mobilités
Great Western Railway,Bus,1,UK,FirstGroup
Thameslink,Bus,1,UK,DFTO
Grand Union Trains,Rail,1,UK,FirstGroup
Aircoach,Bus,1,"IE,UK",FirstGroup
London North Eastern Railway,Bus,1,UK,DFTO
Preston Bus,Bus,1,UK,Rotala
Arriva Yorkshire,Bus,1,UK,Arriva
Stagecoach Yorkshire,Bus,1,UK,Stagecoach
Stagecoach South West,Bus,1,UK,Stagecoach
Stagecoach Merseyside and South Lancashire,Bus,1,UK,Stagecoach
ScotRail,Rail,1,UK,ScotRail
TransPennine Express,Bus,1,UK,DFTO
Transport for Wales,Bus,1,UK,Transport for Wales
Arriva,Bus,1,"DE,NL,UK",Arriva
JH Coaches,Bus,1,UK,JH Coaches
